PROVINCIA;COMARCA;MUNICIPIO;GRUPO DE CULTIVO;CULTIVO;SUPERFICIE CULTIVADA (ha);DOTACION (m3/ha);CONSUMO ESTIMADO (m3);PRECIO MEDIO AGUA (euros/m3);COSTE ESTIMADO (euros)
ALICANTE;ALT VINALOPO/ALTO VINALOPO;BENEIXAMA;CEREALES PARA GRANO;CEBADA;30,00;3438,77;103163,04;1,19;122710,56
ALICANTE;ALT VINALOPO/ALTO VINALOPO;BIAR;CEREALES PARA GRANO;TRIGO;62,00;3438,77;213203,62;1,19;253601,83
ALICANTE;ALT VINALOPO/ALTO VINALOPO;CAMPO DE MIRRA/CAMP DE MIRRA (EL);CEREALES PARA GRANO;TRIGO;4,00;3438,77;13755,07;1,19;16361,41
ALICANTE;ALT VINALOPO/ALTO VINALOPO;CANADA;CEREALES PARA GRANO;TRIGO;2,00;3438,77;6877,54;1,19;8180,70
ALICANTE;ALT VINALOPO/ALTO VINALOPO;SALINAS;CEREALES PARA GRANO;CEBADA;22,00;3438,77;75652,90;1,19;89987,75
ALICANTE;ALT VINALOPO/ALTO VINALOPO;SAX;CEREALES PARA GRANO;AVENA;79,00;3438,77;271662,68;1,19;323137,82
ALICANTE;ALT VINALOPO/ALTO VINALOPO;VILLENA;CEREALES PARA GRANO;TRIGO;424,00;3438,77;1458037,68;1,19;1734309,31
ALICANTE;BAIX SEGURA/VEGA BAJA;ALBATERA;TUBERCULOS C. HUMANO;PATATA TARDIA;4,00;3438,77;13755,07;1,19;16361,41
ALICANTE;BAIX SEGURA/VEGA BAJA;ALGORFA;TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;10,00;3438,77;34387,68;1,19;40903,52
ALICANTE;BAIX SEGURA/VEGA BAJA;ALMORADI;CEREALES PARA GRANO;TRIGO;33,00;3438,77;113479,35;1,19;134981,62
ALICANTE;BAIX SEGURA/VEGA BAJA;BENEJUZAR;TUBERCULOS C. HUMANO;PATATA TEMPRANA;2,00;3438,77;6877,54;1,19;8180,70
ALICANTE;BAIX SEGURA/VEGA BAJA;BENFERRI;HORTALIZAS;MELON;3,00;3438,77;10316,30;1,19;12271,06
ALICANTE;BAIX SEGURA/VEGA BAJA;BENIJOFAR;CEREALES PARA GRANO;CEBADA;2,00;3438,77;6877,54;1,19;8180,70
ALICANTE;BAIX SEGURA/VEGA BAJA;BIGASTRO;TUBERCULOS C. HUMANO;PATATA TARDIA;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;BAIX SEGURA/VEGA BAJA;CALLOSA DE SEGURA;CEREALES PARA GRANO;TRIGO;22,00;3438,77;75652,90;1,19;89987,75
ALICANTE;BAIX SEGURA/VEGA BAJA;CATRAL;CEREALES PARA GRANO;TRIGO;18,00;3438,77;61897,83;1,19;73626,34
ALICANTE;BAIX SEGURA/VEGA BAJA;COX;TUBERCULOS C. HUMANO;PATATA TEMPRANA;8,00;3438,77;27510,14;1,19;32722,82
ALICANTE;BAIX SEGURA/VEGA BAJA;DAYA NUEVA;CEREALES PARA GRANO;TRIGO;3,00;3438,77;10316,30;1,19;12271,06
ALICANTE;BAIX SEGURA/VEGA BAJA;DAYA VIEJA;CEREALES PARA GRANO;TRIGO;14,00;3438,77;48142,75;1,19;57264,93
ALICANTE;BAIX SEGURA/VEGA BAJA;DOLORES;CEREALES PARA GRANO;TRIGO;17,00;3438,77;58459,06;1,19;69535,99
ALICANTE;BAIX SEGURA/VEGA BAJA;FORMENTERA DEL SEGURA;CEREALES PARA GRANO;TRIGO;2,00;3438,77;6877,54;1,19;8180,70
ALICANTE;BAIX SEGURA/VEGA BAJA;GRANJA DE ROCAMORA;TUBERCULOS C. HUMANO;PATATA TEMPRANA;2,00;3438,77;6877,54;1,19;8180,70
ALICANTE;BAIX SEGURA/VEGA BAJA;GUARDAMAR DEL SEGURA;CEREALES PARA GRANO;TRIGO;2,00;3438,77;6877,54;1,19;8180,70
ALICANTE;BAIX SEGURA/VEGA BAJA;JACARILLA;TUBERCULOS C. HUMANO;PATATA TEMPRANA;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;BAIX SEGURA/VEGA BAJA;MONTESINOS (LOS);TUBERCULOS C. HUMANO;PATATA TEMPRANA;15,00;3438,77;51581,52;1,19;61355,28
ALICANTE;BAIX SEGURA/VEGA BAJA;ORIHUELA;CEREALES PARA GRANO;TRIGO;49,00;3438,77;168499,64;1,19;200427,25
ALICANTE;BAIX SEGURA/VEGA BAJA;PILAR DE LA HORADADA;CEREALES PARA GRANO;TRIGO;29,00;3438,77;99724,28;1,19;118620,21
ALICANTE;BAIX SEGURA/VEGA BAJA;RAFAL;TUBERCULOS C. HUMANO;PATATA TEMPRANA;3,00;3438,77;10316,30;1,19;12271,06
ALICANTE;BAIX SEGURA/VEGA BAJA;REDOVAN;LEGUMINOSAS GRANO;HABA SECA;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;BAIX SEGURA/VEGA BAJA;ROJALES;CEREALES PARA GRANO;TRIGO;11,00;3438,77;37826,45;1,19;44993,87
ALICANTE;BAIX SEGURA/VEGA BAJA;SAN FULGENCIO;CEREALES PARA GRANO;TRIGO;49,00;3438,77;168499,64;1,19;200427,25
ALICANTE;BAIX SEGURA/VEGA BAJA;SAN ISIDRO;CEREALES PARA GRANO;CEBADA;3,00;3438,77;10316,30;1,19;12271,06
ALICANTE;BAIX SEGURA/VEGA BAJA;SAN MIGUEL DE SALINAS;CEREALES PARA GRANO;TRIGO;11,00;3438,77;37826,45;1,19;44993,87
ALICANTE;BAIX SEGURA/VEGA BAJA;TORREVIEJA;TUBERCULOS C. HUMANO;PATATA TEMPRANA;15,00;3438,77;51581,52;1,19;61355,28
ALICANTE;BAIX VINALOPO;CREVILLENT;CEREALES PARA GRANO;TRIGO;2,00;3438,77;6877,54;1,19;8180,70
ALICANTE;BAIX VINALOPO;ELCHE/ELX;CEREALES PARA GRANO;TRIGO;42,00;3438,77;144428,26;1,19;171794,79
ALICANTE;BAIX VINALOPO;SANTA POLA;TUBERCULOS C. HUMANO;PATATA TEMPRANA;5,00;3438,77;17193,84;1,19;20451,76
ALICANTE;EL COMTAT;AGRES;CEREALES PARA GRANO;TRIGO;27,00;3438,77;92846,74;1,19;110439,51
ALICANTE;EL COMTAT;ALCOCER DE PLANES;FRUTALES;MANZANO;3,00;3438,77;10316,30;1,19;12271,06
ALICANTE;EL COMTAT;ALCOLEJA;CEREALES PARA GRANO;CEBADA;12,00;3438,77;41265,22;1,19;49084,23
ALICANTE;EL COMTAT;ALFAFARA;CEREALES PARA GRANO;TRIGO;13,00;3438,77;44703,99;1,19;53174,58
ALICANTE;EL COMTAT;ALMUDAINA;FRUTALES;MANZANO;2,00;3438,77;6877,54;1,19;8180,70
ALICANTE;EL COMTAT;ALQUERIA D'ASNAR (L');TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;2,00;3438,77;6877,54;1,19;8180,70
ALICANTE;EL COMTAT;BALONES;FRUTALES;MANZANO;1,00;3438,77;3438,77;1,19;4090,35
